Deal ID,Category,Date Announced,Date Completed / Failed,Time to Close (months),Conclusion / Status,Target Full Name,Target Ticker / Exchange,Industry,Acquirer Full Name,Acquirer Listed Exchange,Deal Size (US$ mn),"Deal Size (local, JPY bn unless noted)",Deal Structure,Final Offer Price (local),Initial Offer / Price Bumps,Unaffected Price (local),Premium to Unaffected (%),Board Recommendation,Special Committee,Competing Bid / Interloper,Recurring Attempt by Same Acquirer?,Toehold / Irrevocables / Tender Agreements,Regulator 1,Regulator 2,Regulator 3,Rules / Regulations Triggering Review,Key Debate Points / Frictions,Activism & Hedge Fund Involvement,Final Resolution Mechanism,Squeeze-out Mechanism,Delisting Date,Verification Status,Notes / Follow-ups,Source URL 1 (primary),Source URL 2,Source URL 3,Filing / First Report Date,"Pre-Event Close (T-1, local)","Post-Event Close (T+1, local)",Premium to T-1 Close (%),Market Reaction T+1 (%),Min Tender Condition (Y/N),Min Tender Condition Detail,Fairness Opinion Provider,Financial Advisor (Target),Financial Advisor (Acquirer),Target IPO Lead Underwriter,FEFTA Classification,Financing Description,Break Fee (Y/N),Break Fee Amount,TSE Segment,Index Membership,Founder/Family Ownership %,Key Management Age at Announcement,PBR at Announcement,date_announced_basis
JP-026,PE-vs-PE hostile bidding war,2024/08/08,2025/02/19 (second-stage TOB completion; settlement 2025/02/27),7.7,Concluded (KKR won),Fuji Soft Incorporated,9749 JP / TSE Prime,IT services / software,"KKR (winner); Bain Capital (counterbidder, went hostile, withdrew)",KKR US / NYSE; Bain unlisted,4000,600,"KKR two-stage TOB (1st ¥8,800 backed by 3D & Farallon irrevocables ~33%; Bain counter ¥9,450 w/ founder support; KKR 2nd-stage ¥9,451 'one-yen' top)","¥9,850 (KKR, winning); Bain's last ¥9,600 never launched","KKR ¥8,800 (2024/08/08) → ¥9,451 → ¥9,850 (2025/02/04; 2 bumps); Bain proposal ¥9,450 (Sep 2024, founder-backed) → ¥9,600 (Dec 2024) → withdrew 2025/02/17 without launching",TBV,TBV (>+50% vs pre-3D-pressure levels; TBV),For KKR throughout; declined to support Bain despite higher interim price,Yes (heavily scrutinized),Yes — landmark sponsor-vs-sponsor contest; Bain proceeded without board consent,No,"Decisive lock-ups: 3D Investment Partners + Farallon (~33% combined) tendered into KKR's FIRST-stage TOB (Sep–Nov 2024), making them irrevocable vs Bain; founder Nozawa family (~19%) backed Bain but couldn't overcome the lock-ups",JFTC,—,—,Two-stage TOB structure criticized (coercion debate); METI guidelines on competing offers; irrevocables as bid lock-ups,Whether board could favor lower-headline KKR bid; activists selling control via irrevocables; founder family split (Nozawa family backed Bain),"3D Investment Partners (instigating activist), Farallon — both pivotal",Bain withdrew; KKR completed squeeze-out; delisted 2025 (TBV date),Share consolidation,2025/05/16 (EGM 2025/04/25 approved squeeze-out),Verified via primary sources (backfill 2026/07/06),"THE case study for interloper/lock-up dynamics in Japan || BACKFILL 2026/07/06: announced 2024/08/08; the defining PE-vs-PE contest — first-ever two-stage TOB structure used offensively to lock activist blocks; KKR final 57.92% (35,753,281 sh + options); ≈$4.4bn at ¥9,850. Bain waged the fight even after board rejection, testing METI-guidelines boundaries. Completion >4 months late vs plan (KKR statement).",https://www.businesswire.com/news/home/20250219106284/en/KKR-Completes-Tender-Offer-for-FUJI-SOFT,https://www.solactive.com/acquisition-fuji-soft-inc-16th-may-2025/,https://www.japantimes.co.jp/business/2025/02/20/companies/kkr-fujisoft-acquisition/,2024/08/08 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,Yes,"Second TOB: 12,133,398 shares minimum (19.25% incremental to reach squeeze-out threshold; 53.22% total achieved) — per TOB registration summary",TBV,TBV,Tender agent: Mitsubishi UFJ Morgan Stanley (+ sub-agent MUFJ e-Smart) for KKR's FK Co. — per TOB registration summary,TBV,TBV,TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,"≈18.6% (Nozawa founding family, per Mingtiandi/Bloomberg; backed Bain, lost to lock-ups)",TBV,TBV,formal_announcement
JP-027,Cross-border unsolicited proposal (failed) + failed MBO defense,2024/08/19,2025/07/16 (proposal withdrawn),10.9,Failed — Couche-Tard withdrew 2025/07/16 citing 'persistent lack of good faith engagement',Seven & i Holdings,3382 JP / TSE Prime,Retail / convenience stores,Alimentation Couche-Tard Inc. (ACT),ATD CN / TSX,47000,≈¥7tn,"Non-binding all-cash proposal (initial ≈US$14.86/ADS ≈¥2,200/sh; revised ≈¥2,700/sh, ~US$47bn) — never launched TOB","¥2,600/share (final; ≈$46–47bn) — never launched as TOB","US$14.86/sh (~$39bn) initial 2024/08 → raised ~$18.19/sh (~$46bn, ≈¥2,600) 2024/10 after rejection (1 raise); Dec 2024 term sheet added ~$1.2bn reverse termination fee (→$1.4bn contingent) + US divestiture package","≈¥1,760 (pre-8/19/24 leak; TBV)",+47.6% to unaffected price (per Couche-Tard withdrawal letter),Effectively opposed (special committee: undervaluation + US antitrust risk); refused DD for months,Yes (independent special committee led process),Yes — Ito family MBO counter-proposal (~¥9tn) collapsed Feb 2025 when financing failed; standalone plan + York carve-out as defense,No,,"METI (FEFTA 'core' designation of Seven & i, Sep 2024)",FTC/DOJ (US antitrust — c-store overlap; divestiture package explored w/ ACT),JFTC,FEFTA core classification debate (convenience stores as critical infrastructure?); US HSR; METI guidelines on bona fide offers,National-champion protectionism vs shareholder value; ACT alleged stonewalling; management change (Isaka→Dacus); ¥2tn buyback + York sale as defense; Artisan Partners public letters,"ValueAct (long-running), Artisan Partners (vocal letters); arb losses on withdrawal",ACT withdrew 16 Jul 2025 citing lack of engagement; stock derated; standalone restructuring continued,,,Verified via primary sources (backfill 2026/07/06),"Largest-ever attempted foreign takeover of a Japanese company || BACKFILL 2026/07/06: confirmed 2024/08/19; would have been the largest-ever foreign takeover of a Japanese company. Frictions: 'grossly undervalues' rejection (Sep 2024), FEFTA core designation (Sep 2024), FTC divestiture perimeter, founding-family (Ito) MBO attempt via York response (failed Feb 2025 — see JP-045 arc), NDA Apr 2025 with negligible diligence per ACT (14 files/10 weeks); ACT explored alternative structures (all-ex-Japan + 40% JP; 7&i counter: sell US business for equity). Withdrawal letter 2025/07/16 is the definitive record; 7&i 'disappointed but not surprised'. CEO change Isaka→Dacus 2025/05.",https://corporate.couche-tard.com/2025-07-16-ALIMENTATION-COUCHE-TARD-ANNOUNCES-WITHDRAWAL-OF-PROPOSAL-TO-ACQUIRE-SEVEN-I-HOLDINGS-DUE-TO-LACK-OF-ENGAGEMENT,https://www.cnbc.com/2025/07/17/trading-in-japans-seven-i-halted-after-couche-tard-withdraws-47-billion-bid-to-acquire-the-retailer.html,https://www.forbes.com/sites/zinnialee/2025/07/17/couche-tard-drops-46-billion-bid-to-buy-7-eleven-owner-seven--i/,2024/08/19 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,n/a (never launched as a TOB),TBV,n/a (no fairness opinion — deal never reached a signed agreement),"n/a (proposal withdrawn 2025/07/16 before any formal FA engagement announcement; ACT's letter references '7&i's advisors' generically, names not disclosed in any cited source)",n/a (same — ACT's own advisors not named in cited sources; proposal never reached signing),TBV,Core (per cited row text),TBV,Yes,Seeded: reverse termination fee (→$1.4bn contingent) + US divestiture package,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-028,Parent-subsidiary minority buy-in,2024/10/29,2025/01/10 (TOB close; delisted 2025/03/20),3.1,Concluded,NEC Networks & System Integration (NESIC),1973 JP / TSE Prime,Network engineering / SI,NEC Corporation,TSE Prime (6701),1400,213,"TOB ¥3,250/sh for ~48% minorities + squeeze-out","¥3,300","¥3,250 (2024/10/29) → ¥3,300 declared final (2024/12/20, with minimum condition lowered 22.76mn→10.15mn sh; 1 bump under acceptance pressure)",TBV,TBV (~+30%; TBV),For,Yes,,No,"NEC parent stake ~51.9% pre-deal (controlling shareholder buy-in); acquired 22.54% in TOB (≈¥110bn), 73.9% total acceptance basis",JFTC,—,—,Parent-sub TOB fairness (METI/TSE guidance on controlling-shareholder buyouts),Listed-subsidiary discount unwind wave; minority price adequacy,TBV,TOB + squeeze-out; delisted 2025 (TBV),Share consolidation,2025/03/20,Verified via primary sources (backfill 2026/07/06),"One of many parent buy-ins in the sample — see also SCSK, Sumitomo Densetsu, NTT Data || BACKFILL 2026/07/06: announced 2024/10/29; TOB 2024/10/30–2025/01/10 (extended twice); EGM 2025/02–03 share consolidation; delisted 2025/03/20. Parent buy-in where the parent itself bumped and declared a final price — rare; part of the parent-sub unwind wave. Special committee + fairness opinion (Daiwa).",https://www.nec.com/en/press/202412/global_20241220_01.html,https://www.solactive.com/acquisition-nec-networks-system-integration-corp-20th-march-2025/,https://www.jpx.co.jp/english/news/1023/20250304-11.html,2024/10/29 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,Daiwa Securities (fairness opinion; per cited row text),TBV,TBV,TBV,TBV,TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-029,PE take-private (dual-price structure controversy),2024/09/30,2025/02/28,5.0,Concluded,T-Gaia Corporation,3738 JP / TSE Prime,Mobile phone distribution,Bain Capital,Unlisted,930,140,"TOB for minorities at ¥2,670 while parent Sumitomo Corp sold its ~40% block at a LOWER per-share price (differential pricing)","¥2,670 (minorities, acquirer TOB); ¥2,045 (Sumitomo/Hikari Tsushin, via T-Gaia self-tenders)",TBV,TBV,"−26.5% vs prior close (post-leak spike); differential structure: minorities ¥2,670 vs Sumitomo/Hikari Tsushin ¥2,045 via target self-tenders",For,Yes,TBV,No,"Privatization Cooperation Agreement: Sumitomo Corp (parent) + Hikari Tsushin group agreed to exit at ¥2,045 via self-tenders; min tender 7,076,300 sh on acquirer TOB",JFTC,—,—,Equal-treatment principle under FIEA TOB rules stress-tested by two-tier pricing; FSA/TSE commentary; shaped 2026 TOB reform discussion,"Whether differential pricing (parent lower, minorities higher) is pro-minority or a rule-arbitrage; ISS/proxy criticism (TBV)",TBV,Completed despite controversy; delisted 2025 (TBV),Share consolidation,2025 (TBV),Verified via primary sources (backfill 2026/07/06); delisting date still TBV,"Cited in FIEA TOB-reform debates (rules effective 2026/05/01) || BACKFILL 2026/07/06: announced 2024/09/30; Bain (BCJ-81) TOB 2024/10/01–2024/11/20 (35 bd), settlement 2024/11/27; total >¥140bn (~$987mn, Nikkei). LANDMARK STRUCTURE: three-part differential-price take-private (acquirer TOB + two lower-priced self-tenders within distributable amount ¥57.7bn) — precursor to the differential-pricing debate resolved in the 2026/05/01 FIEA amendment. Delisting/squeeze-out completion date: follow up.",https://www.sumitomocorp.com/-/media/Files/hq/news/release/2024/19020/19020_en.pdf,"https://www.tradingview.com/news/reuters.com,2024:newsml_L1N3LC06P:0-bain-launches-discount-tender-offer-for-japanese-mobile-retailer-t-gaia/",https://simplywall.st/stocks/us/capital-goods/otc-ssum.y/sumitomo/future,2024/09/30 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,Yes,"Seeded from cited row text: min 2,670 while parent Sumitomo Corp sold its ~40%",TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-030,Hostile TOB (withdrawn),2024/12/27,2025/05 (early May; exact day TBV),4.4,Failed (bidder withdrew),"Makino Milling Machine Co., Ltd.",6135 JP / TSE Prime,Machine tools,Nidec Corporation,TSE Prime (6594),1700,257,"Consentless TOB intent at ¥11,000/sh announced 27 Dec 2024 with April 2025 launch date (ultimatum structure); launched Apr 2025 then withdrew","¥11,000","¥11,000","≈¥7,750 (TBV)",≈+42% (TBV),Opposed (asked for delay; adopted countermeasures; solicited white knights),Yes,Yes — Makino ran market-check; MBK Partners emerged (see separate row),"Yes — Nidec's 3rd machine-tool pursuit (OKK, Takisawa, Makino)",,JFTC,—,—,METI guidelines stress test: announcing a TOB months ahead ('fait accompli'); poison-pill countermeasure legitimacy; TOB withdrawal rules,Nidec's aggressive tactics backfired reputationally; board's right to seek alternatives affirmed; premium ultimately topped by white knight,Event funds accumulated; TBV names,Nidec withdrew May 2025 after countermeasures; target went to MBK at higher price,,,Verified announcement & withdrawal via secondary sources (backfill 2026/07/06); withdrawal day needs primary confirmation,"Read with MBK/Makino row || BACKFILL 2026/07/06: Nidec announced unsolicited intent 2024/12/27 at ¥11,000; TOB scheduled to commence 2025/04/04 without board consent (first large consentless bid to invoke METI-guidelines timing debate at this scale); Makino adopted defensive measures; Nidec withdrew early May 2025. Sibling row JP-031 (MBK white knight — later blocked under FEFTA).",https://ir.makino.co.jp/en/news/pdf/2025/20250603_2.pdf,https://seisanzai-japan.com/article/p5574/,https://kantenna.com/topic/japan-blocks-mbk-makino-milling-takeover,2024/12/27 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,FEFTA-reviewed (class TBV),TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-031,White-knight take-private (PE),2025/06/03,"2026/05/01 (MBK compliance deadline; recommendation stood, deal dead)",10.6,"Blocked — FIRST FEFTA stop recommendation since 2008 (J-Power); only 2nd ever. MBK 'great surprise', proposed mitigations (govt monitoring, JP director ratio, info-access limits) rejected; TOB never launched; Makino reverts to listed standalone with enhanced shareholder returns","Makino Milling Machine Co., Ltd.",6135 JP / TSE Prime,Machine tools,MM Holdings Inc. (MMH) — vehicle of MBK Partners (Seoul-based PE),Unlisted,1900,274.8,"Agreed take-private TOB (price above Nidec's ¥11,000; final TBV) following market-check","¥11,751",TBV,"≈¥7,750 (pre-Nidec; TBV)","TBV (set ¥751 above Nidec's rejected ¥11,000; premium to pre-Nidec unaffected TBV)",For,Yes (JPM advised special committee),Successor to failed Nidec hostile bid,No,"None — offeror, MBK Partners K.K. and MBKP Fund held no target shares at announcement; tender offer agreement with target board","MoF + METI (FEFTA Art. 27(5) cease-and-desist recommendation, 2026/04/22)",China SAMR; US HSR + CFIUS,"EU member-state FDI (France, Germany, Italy); Australia CCA",FEFTA inward-investment review (machine tools export-control adjacent); FIEA TOB,Hostile pressure → higher white-knight outcome; foreign-PE ownership of dual-use machine-tool tech,TBV,TOB completed; squeeze-out/delisting turn of 2025-26 (TBV),n/a (TOB never commenced),,Verified via primary sources (A1 resolution 2026/07/06),"US$1.8bn per JPM 2026 outlook || BACKFILL 2026/07/06 — MAJOR CORRECTIONS: announce date was 2025/08/29 (wrong) → 2025/06/03; status was 'Concluded' (wrong) → BLOCKED. White-knight board-supported take-private (vs Nidec, JP-030; MBK beat Carlyle & NSSK for preferred-bidder status) killed by Japan's first-ever FEFTA stop recommendation: machine tools deemed core/sensitive (military-conversion potential; information-access risk), despite MBK's proposed CFIUS-style mitigation. Financing: ¥129.98bn senior + ¥13bn mezz commitments + ¥161bn equity (MBK Fund VI). Landmark C1 — resets inbound-PE feasibility for 'monozukuri' core sectors. || A1 RESOLUTION 2026/07/06: FEFTA stop recommendation issued 2026/04/22 by MoF+METI; FinMin Katayama called it 'unavoidable', deal 'could undermine national security'; Makino shares −10% to ¥10,420 next day. Govt's 4-layer reasoning: military-diversion potential of machine tools ('mother machines'; dual-use, export-permit goods), defense-supply-chain criticality, 'mosaic effect', and PE ~5yr-horizon vs long-term tech-guardianship mismatch. CFIUS had CLEARED it (Makino's Ohio plant) — landmark jurisdictional divergence. Contrast Yageo/Shibaura (JP-044, cleared w/ conditions). FEFTA amendment bill passed Diet 2026/05/29 (in force ~mid-2027). CORRECTION: acquirer vehicle = MM Holdings Inc.; MBK is Seoul-based (not generic 'Asian PE').",https://www.nagashima.com/en/publications/publication20260522-1/,https://www.klgates.com/Japan-Blocks-Foreign-Acquisition-on-National-Security-Grounds-Signaling-Increased-Scrutiny-6-2-2026,https://kantenna.com/topic/japan-blocks-mbk-makino-milling-takeover,2025/06/03 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,FEFTA-reviewed (class TBV),Seeded from cited row text: preferred-bidder status) killed by Japan's first-ever FEFTA stop recommendation: machine tools deemed core/sensitive (military-conversion potential; information-access r,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-032,Merger of equals attempt (failed),2024/12/23,2025/02/13 (MOU terminated by both boards; Mitsubishi tripartite MOU also terminated),1.7,Failed — integration talks terminated 2025/02/13; strategic partnership (EV/intelligence) continues,Nissan Motor Co. (with Mitsubishi Motors optionality),7201 JP / TSE Prime,Automotive,Honda Motor Co. (proposed JV holding company),TSE Prime (7267),≈$58bn combined mkt-cap context (n.m.),n.m.,MOU for joint holding company (target listing Aug 2026); collapsed when Honda pivoted to making Nissan a subsidiary,,,,,Both boards initially supportive of MOU,No,Foxconn (Hon Hai) interest in Nissan stake before/after — complicating factor,No,n/a (Renault cross-holding legacy in background),Would have required global merger control,—,—,n/a (terminated pre-agreement),Rescue-merger optics; pride/subsidiarization dispute; Nissan restructuring credibility; METI soft encouragement,Effissimo historic stake in Nissan (TBV current); event funds whipsawed,Terminated 13 Feb 2025; Nissan pursued standalone restructuring + partnerships,,,Verified via primary sources (backfill 2026/07/06),"Largest failed domestic combination of the window || BACKFILL 2026/07/06: MOU signed 2024/12/23 (joint holding company; would have created world #3 automaker, ≈$58–60bn combined; Mitsubishi Motors optional junior partner); Honda proposed restructuring to parent-subsidiary via share exchange late Jan 2025 amid frustration with Nissan restructuring pace; Nissan refused subsidiary status; terminated 2025/02/13. The mega-merger governance/structure failure case; precursor context for Nissan's 2025-26 restructuring.",https://www.sec.gov/Archives/edgar/data/0000715153/000119312525025577/d913671d6k.htm,https://www.cnbc.com/2025/02/13/honda-and-nissan-end-merger-talks-say-they-will-continue-to-collaborate-.html,https://www.aljazeera.com/news/2025/2/13/honda-nissan-end-merger-talks-scuttling-60bn-deal,2024/12/23 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,Yes,Seeded from cited row text: min 2025/02/13,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-033,Cross-border outbound (insurance),2024/12/11,2025/10/30 (US EST closing),6.6,Concluded,Resolution Life Group Holdings,Unlisted (Bermuda),Life insurance run-off consolidator,Nippon Life Insurance Company,Mutual (unlisted),"8,200 announced for remaining ~77% (≈8,400 / ¥1.2tn at completion); implied 100% valuation 10,600",≈¥1.2tn equiv.,Acquisition of remaining interests (100% control),,,,,For,No,,Yes — staged: prior minority investments since 2019,Nippon Life pre-held 23% (equity affiliate since 2019); acquired remainder from the Blackstone-managed investment LP,Bermuda BMA / multi-jurisdiction insurance regulators,US state insurance depts,—,Insurance change-of-control approvals across jurisdictions,Japanese insurers' offshore capital deployment wave,,Completed 2025 (TBV),,,Verified via primary sources (backfill 2026/07/06),"Largest-ever acquisition by a Japanese insurer at announcement || BACKFILL 2026/07/06: announced 2024/12/11; largest-ever acquisition by a Japanese insurer; clearances: US/UK/Bermuda insurance change-of-control, CFIUS, BMA; closed 2025/10/30; MLC (Australia) merged with Resolution Australasia → Acenda; Blackstone remains investment manager. Anchors the outbound life-insurance consolidation arc (Corebridge 21.6% $3.8bn same period; cf. Sompo/Aspen JP-046, Meiji Yasuda). || ADVISOR PASS 2026/07/06: seller-side advisors confirmed via MarketScreener completion notice (named individual partners at Debevoise/HSF/Kirkland).",https://www.nissay.co.jp/global/news/10312025.html,https://www.resolutionlife.com/news-and-insights/resolution-life-confirms-completion-of-acquisition-by-nippon-life/,https://law.asia/nippon-life-insurance-resolution-life-acquisition/,2024/12/11 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,TBV,Goldman Sachs & Co. LLC (FA to Resolution Life/sellers); legal: Debevoise & Plimpton + Herbert Smith Freehills + Kirkland & Ellis,TBV (Nippon Life-side FA not named in cited sources),TBV,TBV,"Seeded from cited row text: bridge 21.6% $3.8bn same period; cf. Sompo/Aspen JP-046, Meiji Yasuda). Nippon Life pre-held 23% (equity affiliate since 2019); acquired remainder from the Blackstone",TBV,TBV,Unlisted,TBV,TBV,TBV,TBV,formal_announcement
JP-034,Cross-border outbound (chemicals),2024/10/28,2025/03/03 (closing),7.4,Concluded,AOC (composite resins; from Lone Star),Unlisted,Specialty chemicals,Nippon Paint Holdings,TSE Prime (4612),"4,350 (including debt; ≈2,300 cash consideration to seller)",≈¥650bn equiv.,100% private acquisition from sponsor,,,,,For,No,Auction,No,,US/EU antitrust,—,—,Merger control only,'Asset assembler' M&A model; leverage appetite,,Closed 2025 (TBV),,,Verified via primary sources (backfill 2026/07/06),BACKFILL 2026/07/06 — announce date anchored to definitive agreement 2024/10/28 (Lone Star/Nippon Paint releases). PE-to-strategic exit (Lone Star Fund XI → Nippon Paint 'Asset Assembler' model); AOC = US specialty chemicals (unsaturated polyester/vinyl ester); closed 2025/03/03. || CORRECTION: announce date corrected 2024/12/03 → 2024/10/28,https://www.businesswire.com/news/home/20250303263183/en/Lone-Star-Funds-Completes-Sale-of-AOC-to-Nippon-Paint-Holdings,https://www.businesswire.com/news/home/20241028931588/en/Lone-Star-Announces-Sale-of-AOC-to-Nippon-Paint-Holdings,https://cen.acs.org/materials/coatings/Nippon-Paint-buy-AOC/102/i35,2024/10/28 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,TBV,Unlisted,TBV,TBV,TBV,TBV,formal_announcement
JP-035,Activist campaign,2024/02/05,2024/04 (company response: revised long-term plan),11.5,Concluded (substantial wins),"Mitsui Fudosan Co., Ltd.",8801 JP / TSE Prime,Real estate,Elliott Management (campaign),,Stake ~2.5% (≈$1bn; TBV),TBV,Private-then-public pressure: demanded ~¥1tn buyback & sale of Oriental Land (4661) stake,,,,,,No,,No,≈2.5% (TBV),—,—,—,TSE capital-efficiency regime backdrop,Cross-holding of OLC; developer P/B <1,Elliott,Company announced large buybacks + partial OLC sell-down + capital plan (2024); campaign de-escalated,,,Verified via primary sources (backfill 2026/07/06),"BACKFILL 2026/07/06 — announce date anchored to FT-report date 2024/02/05 (stake ≥2.5%; demands: ¥1tn (~$6.7bn) buyback + sell-down of $3.6bn Oriental Land stake). Shares hit record (+11.8% intraday). Mitsui Fudosan's April 2024 plan: asset sales, larger buyback, higher dividend/EPS/ROE targets. Real-asset unrealized-gains thesis — template shared with Tokyo Gas (JP-054) and Sumitomo Realty (2025). || CORRECTION: announce date corrected 2024/01/15 → 2024/02/05",https://www.cnbc.com/2024/02/05/mitsui-fudosan-hits-record-high-as-elliott-reportedly-demands-share-buyback-.html,https://fortune.com/asia/2024/04/29/paul-singer-activist-hedge-fund-elliott-management-warren-buffett-japan-stake-trading-house-sumitomo/,https://finance.yahoo.com/news/elliott-said-build-significant-stake-040424905.html,2024/02/05 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),TBV,TBV,n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
JP-036,Activist campaign,2024/04/29,,,Concluded/partially resolved (TBV),Sumitomo Corporation,8053 JP / TSE Prime,Trading house (sogo shosha),Elliott Management (campaign),,Stake reported >$500mn (TBV),TBV,Engagement on buybacks/portfolio; company responded with capital-return upgrades,,,,,,No,,No,TBV,—,—,—,—,Berkshire-driven shosha rerating; laggard valuation vs peers,Elliott,Enhanced buyback/shareholder-return policy (2024-25),,,Verified via primary sources (backfill 2026/07/06); stake size approximate ('several tens of ¥bn' per Bloomberg/Fortune),"BACKFILL 2026/07/06 — announce date anchored to Bloomberg/Fortune report 2024/04/29: Elliott built a 'large' stake in Sumitomo Corp (lowest-valued of the Buffett trading houses; PBR 1.1, fwd P/E 9.5) ahead of the 2024/05 mid-term plan. Engagement-style campaign; Berkshire ~8.3% co-presence. Follow-up: Sumitomo's subsequent buyback/mid-term plan response — verify quantum in next pass. || CORRECTION: announce date corrected 2024/06/01 → 2024/04/29",https://fortune.com/asia/2024/04/29/paul-singer-activist-hedge-fund-elliott-management-warren-buffett-japan-stake-trading-house-sumitomo/,https://www.energyconnects.com/news/gas-lng/2024/november/elliott-reports-stake-in-tokyo-gas-as-activists-target-japan/,https://finance.yahoo.com/news/elliott-said-build-significant-stake-040424905.html,2024/04/29 (= announcement/filing; no earlier report documented in row),TBV,TBV,TBV,TBV,n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),TBV,TBV,n/a (activist campaign / engagement — no tender offer or advisory process),n/a (activist campaign / engagement — no tender offer or advisory process),TSE Prime,TOPIX constituent (structural: TSE Prime/First Section-listed stocks are TOPIX-eligible per TSE rules); Nikkei 225 membership selective — TBV unless separately confirmed,TBV,TBV,TBV,formal_announcement
